GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP23,C_US_BRN23,C_PR_BRN23,C_AB_BRN23,C_NTRLZN23,NOT_CIT23
12001,12, Florida,001,Alachua County,281751,241360,4130,4123,17527,14611
12003,12, Florida,003,Baker County,28186,27459,64,122,316,225
12005,12, Florida,005,Bay County,181368,161136,1971,3703,7256,7302
12007,12, Florida,007,Bradford County,27888,26503,195,545,549,96
12009,12, Florida,009,Brevard County,620533,539953,11354,10250,40402,18574
12011,12, Florida,011,Broward County,1946127,1172590,39350,29705,436087,268395
12013,12, Florida,013,Calhoun County,13593,12904,110,137,165,277
12015,12, Florida,015,Charlotte County,195083,173135,1541,1343,12300,6764
12017,12, Florida,017,Citrus County,158693,148065,1043,616,6640,2329
12019,12, Florida,019,Clay County,223436,201432,4659,3195,9732,4418
12021,12, Florida,021,Collier County,387681,285213,2592,6169,47996,45711
12023,12, Florida,023,Columbia County,70755,66400,918,617,1356,1464
12027,12, Florida,027,DeSoto County,34719,29749,321,240,1615,2794
12029,12, Florida,029,Dixie County,16952,16350,4,83,273,242
12031,12, Florida,031,Duval County,1007189,858310,16646,12466,68648,51119
12033,12, Florida,033,Escambia County,323275,298420,1453,5027,9433,8942
12035,12, Florida,035,Flagler County,121710,102924,1558,1721,11134,4373
12037,12, Florida,037,Franklin County,12418,11637,100,168,207,306
12039,12, Florida,039,Gadsden County,43642,40954,340,207,609,1532
12041,12, Florida,041,Gilchrist County,18494,17472,51,93,299,579
12043,12, Florida,043,Glades County,12324,10665,53,194,635,777
12045,12, Florida,045,Gulf County,14772,14029,40,176,250,277
12047,12, Florida,047,Hamilton County,13445,12497,148,138,403,259
12049,12, Florida,049,Hardee County,25508,22028,413,326,1049,1692
12051,12, Florida,051,Hendry County,40798,28496,666,110,5071,6455
12053,12, Florida,053,Hernando County,201512,178519,5881,1397,10659,5056
12055,12, Florida,055,Highlands County,103808,88303,3492,822,6269,4922
12057,12, Florida,057,Hillsborough County,1489634,1128728,54070,21510,152181,133145
12059,12, Florida,059,Holmes County,19626,18989,31,183,326,97
12061,12, Florida,061,Indian River County,163856,144221,1371,2095,10091,6078
12063,12, Florida,063,Jackson County,47652,46040,272,344,567,429
12065,12, Florida,065,Jefferson County,14713,14024,55,240,236,158
12067,12, Florida,067,Lafayette County,8035,7481,53,66,221,214
12069,12, Florida,069,Lake County,398696,340596,12517,3729,25612,16242
12071,12, Florida,071,Lee County,792692,630537,12929,7299,72289,69638
12073,12, Florida,073,Leon County,295335,268386,1754,3512,12010,9673
12075,12, Florida,075,Levy County,44276,41294,734,250,763,1235
12077,12, Florida,077,Liberty County,7650,7228,39,132,134,117
12079,12, Florida,079,Madison County,18113,17446,66,16,234,351
12081,12, Florida,081,Manatee County,416020,350079,5350,4654,29218,26719
12083,12, Florida,083,Marion County,387697,335832,14128,3188,21404,13145
12085,12, Florida,085,Martin County,160464,139352,1352,1824,10122,7814
12086,12, Florida,086,Miami-Dade County,2685296,1144589,46544,35145,879835,579183
12087,12, Florida,087,Monroe County,81840,64454,409,1155,9302,6520
12089,12, Florida,089,Nassau County,94653,89224,458,1250,2513,1208
12091,12, Florida,091,Okaloosa County,214281,186798,2744,7038,8577,9124
12093,12, Florida,093,Okeechobee County,40249,34405,149,690,2507,2498
12095,12, Florida,095,Orange County,1440471,970317,108025,24234,170435,167460
12097,12, Florida,097,Osceola County,406943,241309,57176,6555,50630,51273
12099,12, Florida,099,Palm Beach County,1507453,1061942,20108,19230,231553,174620
12101,12, Florida,101,Pasco County,588758,499572,13816,6356,43312,25702
12103,12, Florida,103,Pinellas County,960565,821016,10065,12114,76257,41113
12105,12, Florida,105,Polk County,760961,611523,47720,14034,41032,46652
12107,12, Florida,107,Putnam County,74235,69276,1074,381,1192,2312
12109,12, Florida,109,St. Johns County,292243,258735,2974,4027,16853,9654
12111,12, Florida,111,St. Lucie County,346237,274242,6458,4153,39833,21551
12113,12, Florida,113,Santa Rosa County,193719,179655,1232,3634,6080,3118
12115,12, Florida,115,Sarasota County,449011,385451,3060,4649,35605,20246
12117,12, Florida,117,Seminole County,474912,377472,19096,7029,43541,27774
12119,12, Florida,119,Sumter County,137536,126916,1087,1481,5179,2873
12121,12, Florida,121,Suwannee County,44484,41580,130,271,1261,1242
12123,12, Florida,123,Taylor County,21422,20310,60,92,275,685
12125,12, Florida,125,Union County,15551,14983,112,137,110,209
12127,12, Florida,127,Volusia County,568229,496573,16604,6722,30213,18117
12129,12, Florida,129,Wakulla County,34608,32828,134,502,536,608
12131,12, Florida,131,Walton County,79846,71912,433,1046,3823,2632
12133,12, Florida,133,Washington County,25259,24289,20,193,401,356
